classifier_name,dataset_name,accuracy
Disjoint-CNN1,ArticularyWordRecognition,0.916666666666667
Disjoint-CNN1,AtrialFibrillation,0.333333333333333
Disjoint-CNN1,BasicMotions,0.825
Disjoint-CNN1,Cricket,0.972222222222222
Disjoint-CNN1,DuckDuckGeese,0.54
Disjoint-CNN1,Epilepsy,0.985507246376812
Disjoint-CNN1,EthanolConcentration,0.250950570342205
Disjoint-CNN1,EigenWorms,0.534351145038168
Disjoint-CNN1,Ering,0.662962962962963
Disjoint-CNN1,FaceDetection,0.542565266742338
Disjoint-CNN1,FingerMovements,0.59
Disjoint-CNN1,HandMovementDirection,0.324324324324324
Disjoint-CNN1,Handwriting,0.052941176470588
Disjoint-CNN1,Heartbeat,0.751219512195122
Disjoint-CNN1,Libras,0.966666666666667
Disjoint-CNN1,LSST,0.577858880778589
Disjoint-CNN1,MotorImagery,0.55
Disjoint-CNN1,NATOPS,0.95
Disjoint-CNN1,PenDigits,0.982561463693539
Disjoint-CNN1,PEMS-SF,0.687861271676301
Disjoint-CNN1,PhonemeSpectra,0.256486728303012
Disjoint-CNN1,RacketSports,0.835526315789474
Disjoint-CNN1,SelfRegulationSCP1,0.914675767918089
Disjoint-CNN1,SelfRegulationSCP2,0.544444444444444
Disjoint-CNN1,StandWalkJump,0.4
Disjoint-CNN1,UWaveGestureLibrary,0.871875
Disjoint-CNN2,ArticularyWordRecognition,0.98
Disjoint-CNN2,AtrialFibrillation,0.533333333333333
Disjoint-CNN2,BasicMotions,0.225
Disjoint-CNN2,Cricket,0.986111111111111
Disjoint-CNN2,DuckDuckGeese,0.56
Disjoint-CNN2,Epilepsy,1
Disjoint-CNN2,EthanolConcentration,0.258555133079848
Disjoint-CNN2,EigenWorms,
Disjoint-CNN2,Ering,0.225925925925926
Disjoint-CNN2,FaceDetection,0.534335981838819
Disjoint-CNN2,FingerMovements,0.57
Disjoint-CNN2,HandMovementDirection,0.256756756756757
Disjoint-CNN2,Handwriting,0.068235294117647
Disjoint-CNN2,Heartbeat,0.785365853658537
Disjoint-CNN2,Libras,0.944444444444444
Disjoint-CNN2,LSST,0.566504460665045
Disjoint-CNN2,MotorImagery,0.53
Disjoint-CNN2,NATOPS,0.977777777777778
Disjoint-CNN2,PenDigits,0.984276729559748
Disjoint-CNN2,PEMS-SF,0.69364161849711
Disjoint-CNN2,PhonemeSpectra,0.267819862809424
Disjoint-CNN2,RacketSports,0.868421052631579
Disjoint-CNN2,SelfRegulationSCP1,0.744027303754266
Disjoint-CNN2,SelfRegulationSCP2,0.516666666666667
Disjoint-CNN2,StandWalkJump,0.2
Disjoint-CNN2,UWaveGestureLibrary,0.9
Disjoint-CNN3,ArticularyWordRecognition,0.983333333333333
Disjoint-CNN3,AtrialFibrillation,0.4
Disjoint-CNN3,BasicMotions,0.675
Disjoint-CNN3,Cricket,0.986111111111111
Disjoint-CNN3,DuckDuckGeese,0.66
Disjoint-CNN3,Epilepsy,1
Disjoint-CNN3,EthanolConcentration,0.258555133079848
Disjoint-CNN3,EigenWorms,0.534351145038168
Disjoint-CNN3,Ering,0.485185185185185
Disjoint-CNN3,FaceDetection,0.523552780930761
Disjoint-CNN3,FingerMovements,0.53
Disjoint-CNN3,HandMovementDirection,0.256756756756757
Disjoint-CNN3,Handwriting,0.06
Disjoint-CNN3,Heartbeat,0.751219512195122
Disjoint-CNN3,Libras,0.955555555555556
Disjoint-CNN3,LSST,0.5551500405515
Disjoint-CNN3,MotorImagery,0.54
Disjoint-CNN3,NATOPS,0.972222222222222
Disjoint-CNN3,PenDigits,0.982847341337907
Disjoint-CNN3,PEMS-SF,0.705202312138728
Disjoint-CNN3,PhonemeSpectra,0.272889949299135
Disjoint-CNN3,RacketSports,0.888157894736842
Disjoint-CNN3,SelfRegulationSCP1,0.617747440273037
Disjoint-CNN3,SelfRegulationSCP2,0.544444444444444
Disjoint-CNN3,StandWalkJump,0.2
Disjoint-CNN3,UWaveGestureLibrary,0.921875
Disjoint-CNN4,ArticularyWordRecognition,0.98
Disjoint-CNN4,AtrialFibrillation,0.333333333333333
Disjoint-CNN4,BasicMotions,0.4
Disjoint-CNN4,Cricket,0.986111111111111
Disjoint-CNN4,DuckDuckGeese,0.52
Disjoint-CNN4,Epilepsy,1
Disjoint-CNN4,EthanolConcentration,0.285185185185185
Disjoint-CNN4,EigenWorms,
Disjoint-CNN4,Ering,0.296577946768061
Disjoint-CNN4,FaceDetection,0.54143
Disjoint-CNN4,FingerMovements,0.47
Disjoint-CNN4,HandMovementDirection,0.364864864864865
Disjoint-CNN4,Handwriting,0.095294117647059
Disjoint-CNN4,Heartbeat,0.760975609756098
Disjoint-CNN4,Libras,0.972222222222222
Disjoint-CNN4,LSST,0.60705596107056
Disjoint-CNN4,MotorImagery,0.5
Disjoint-CNN4,NATOPS,0.983333333333333
Disjoint-CNN4,PenDigits,0.710982658959538
Disjoint-CNN4,PEMS-SF,0.98084619782733
Disjoint-CNN4,PhonemeSpectra,0.28124067998807
Disjoint-CNN4,RacketSports,0.861842105263158
Disjoint-CNN4,SelfRegulationSCP1,0.696245733788396
Disjoint-CNN4,SelfRegulationSCP2,0.572222222222222
Disjoint-CNN4,StandWalkJump,0.266666666666667
Disjoint-CNN4,UWaveGestureLibrary,0.890625
Disjoint-CNN5,ArticularyWordRecognition,0.98
Disjoint-CNN5,AtrialFibrillation,0.4
Disjoint-CNN5,BasicMotions,0.55
Disjoint-CNN5,Cricket,0.986111111111111
Disjoint-CNN5,DuckDuckGeese,0.48
Disjoint-CNN5,Epilepsy,1
Disjoint-CNN5,EthanolConcentration,0.258555133079848
Disjoint-CNN5,EigenWorms,0.534351145038168
Disjoint-CNN5,Ering,0.296296296296296
Disjoint-CNN5,FaceDetection,0.539727582292849
Disjoint-CNN5,FingerMovements,0.48
Disjoint-CNN5,HandMovementDirection,0.283783783783784
Disjoint-CNN5,Handwriting,0.098823529411765
Disjoint-CNN5,Heartbeat,0.751219512195122
Disjoint-CNN5,Libras,0.961111111111111
Disjoint-CNN5,LSST,0.491889699918897
Disjoint-CNN5,MotorImagery,0.51
Disjoint-CNN5,NATOPS,0.972222222222222
Disjoint-CNN5,PenDigits,0.978273299028016
Disjoint-CNN5,PEMS-SF,0.705202312138728
Disjoint-CNN5,PhonemeSpectra,0.282433641515061
Disjoint-CNN5,RacketSports,0.894736842105263
Disjoint-CNN5,SelfRegulationSCP1,0.764505119453925
Disjoint-CNN5,SelfRegulationSCP2,0.505555555555556
Disjoint-CNN5,StandWalkJump,0.133333333333333
Disjoint-CNN5,UWaveGestureLibrary,0.91875
Temporal_CNN,ArticularyWordRecognition,0.5
Temporal_CNN,AtrialFibrillation,0.266666666666667
Temporal_CNN,BasicMotions,0.625
Temporal_CNN,Cricket,0.75
Temporal_CNN,DuckDuckGeese,0.2
Temporal_CNN,Epilepsy,0.557251908396947
Temporal_CNN,EthanolConcentration,0.992753623188406
Temporal_CNN,EigenWorms,0.288973384030418
Temporal_CNN,Ering,0.744444444444444
Temporal_CNN,FaceDetection,0.552780930760499
Temporal_CNN,FingerMovements,0.47
Temporal_CNN,HandMovementDirection,0.283783783783784
Temporal_CNN,Handwriting,0.078823529411765
Temporal_CNN,Heartbeat,0.721951219512195
Temporal_CNN,Libras,0.627777777777778
Temporal_CNN,LSST,0.502838605028386
Temporal_CNN,MotorImagery,0.63
Temporal_CNN,NATOPS,0.655555555555556
Temporal_CNN,PenDigits,0.973413379073756
Temporal_CNN,PEMS-SF,0.543352601156069
Temporal_CNN,PhonemeSpectra,0.265732180137191
Temporal_CNN,RacketSports,0.631578947368421
Temporal_CNN,SelfRegulationSCP1,0.74061433447099
Temporal_CNN,SelfRegulationSCP2,0.566666666666667
Temporal_CNN,StandWalkJump,0.333333333333333
Temporal_CNN,UWaveGestureLibrary,0.528125
Spatial_CNN,ArticularyWordRecognition,0.923333333333333
Spatial_CNN,AtrialFibrillation,0.4
Spatial_CNN,BasicMotions,0.525
Spatial_CNN,Cricket,0.986111111111111
Spatial_CNN,DuckDuckGeese,0.62
Spatial_CNN,Epilepsy,0.221374045801527
Spatial_CNN,EthanolConcentration,0.956521739130435
Spatial_CNN,EigenWorms,0.300380228136882
Spatial_CNN,Ering,0.096296296296296
Spatial_CNN,FaceDetection,0.525539160045403
Spatial_CNN,FingerMovements,0.48
Spatial_CNN,HandMovementDirection,0.310810810810811
Spatial_CNN,Handwriting,0.087058823529412
Spatial_CNN,Heartbeat,0.712195121951219
Spatial_CNN,Libras,0.788888888888889
Spatial_CNN,LSST,0.433901054339011
Spatial_CNN,MotorImagery,0.52
Spatial_CNN,NATOPS,0.838888888888889
Spatial_CNN,PenDigits,0.849342481417953
Spatial_CNN,PEMS-SF,0.751445086705202
Spatial_CNN,PhonemeSpectra,0.120489114226066
Spatial_CNN,RacketSports,0.756578947368421
Spatial_CNN,SelfRegulationSCP1,0.897610921501707
Spatial_CNN,SelfRegulationSCP2,0.55
Spatial_CNN,StandWalkJump,0.4
Spatial_CNN,UWaveGestureLibrary,0.6375
SpatialTemporal-CNN,ArticularyWordRecognition,0.953333333333333
SpatialTemporal-CNN,AtrialFibrillation,0.466666666666667
SpatialTemporal-CNN,BasicMotions,0.55
SpatialTemporal-CNN,Cricket,0.972222222222222
SpatialTemporal-CNN,DuckDuckGeese,0.56
SpatialTemporal-CNN,Epilepsy,0.221374045801527
SpatialTemporal-CNN,EthanolConcentration,0.985507246376812
SpatialTemporal-CNN,EigenWorms,0.32319391634981
SpatialTemporal-CNN,Ering,0.296296296296296
SpatialTemporal-CNN,FaceDetection,0.524971623155505
SpatialTemporal-CNN,FingerMovements,0.53
SpatialTemporal-CNN,HandMovementDirection,0.337837837837838
SpatialTemporal-CNN,Handwriting,0.058823529411765
SpatialTemporal-CNN,Heartbeat,0.780487804878049
SpatialTemporal-CNN,Libras,0.916666666666667
SpatialTemporal-CNN,LSST,0.538523925385239
SpatialTemporal-CNN,MotorImagery,0.51
SpatialTemporal-CNN,NATOPS,0.95
SpatialTemporal-CNN,PenDigits,0.985991995425958
SpatialTemporal-CNN,PEMS-SF,0.791907514450867
SpatialTemporal-CNN,PhonemeSpectra,0.264240978228452
SpatialTemporal-CNN,RacketSports,0.842105263157895
SpatialTemporal-CNN,SelfRegulationSCP1,0.822525597269625
SpatialTemporal-CNN,SelfRegulationSCP2,0.588888888888889
SpatialTemporal-CNN,StandWalkJump,0.266666666666667
SpatialTemporal-CNN,UWaveGestureLibrary,0.80625
